num_trabajador,nombre_horario,descripcion_horario,lunes_entrada_1,lunes_salida_1,lunes_entrada_2,lunes_salida_2,martes_entrada_1,martes_salida_1,martes_entrada_2,martes_salida_2,miercoles_entrada_1,miercoles_salida_1,miercoles_entrada_2,miercoles_salida_2,jueves_entrada_1,jueves_salida_1,jueves_entrada_2,jueves_salida_2,viernes_entrada_1,viernes_salida_1,viernes_entrada_2,viernes_salida_2,sabado_entrada_1,sabado_salida_1,sabado_entrada_2,sabado_salida_2,domingo_entrada_1,domingo_salida_1,domingo_entrada_2,domingo_salida_2,fecha_inicio_asignacion,fecha_fin_asignacion,semestre
1,LMXJV 10-15 y 17-20,Lunes a Viernes 10:00-15:00 y 17:00-20:00,10:00,15:00,17:00,20:00,10:00,15:00,17:00,20:00,10:00,15:00,17:00,20:00,10:00,15:00,17:00,20:00,10:00,15:00,17:00,20:00,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
27,LM 09-17 | X 08-16 | J 10-18 | V 11-19,"Lunes a Martes 09:00-17:00, Miércoles 08:00-16:00, Jueves 10:00-18:00, Viernes 11:00-19:00",9:00,17:00,,,9:00,17:00,,,8:00,16:00,,,10:00,18:00,,,11:00,19:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
37,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
57,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
68,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
73,LMXJV 13-21,Lunes a Viernes 13:00-21:00,13:00,21:00,,,13:00,21:00,,,13:00,21:00,,,13:00,21:00,,,13:00,21:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
78,LMXJV 09-14 y 16-19,Lunes a Viernes 09:00-14:00 y 16:00-19:00,9:00,14:00,16:00,19:00,9:00,14:00,16:00,19:00,9:00,14:00,16:00,19:00,9:00,14:00,16:00,19:00,9:00,14:00,16:00,19:00,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
89,LMJV 09-17 | X 08-16,"Lunes, Martes, Jueves y Viernes 09:00-17:00, Miércoles 08:00-16:00",9:00,17:00,,,9:00,17:00,,,8:00,16:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
121,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
130,LMX 11-19 | JV 10-18,"Lunes a Miércoles 11:00-19:00, Jueves a Viernes 10:00-18:00",11:00,19:00,,,11:00,19:00,,,11:00,19:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
144,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
179,LMXJV 09-16,Lunes a Viernes 09:00-16:00,9:00,16:00,,,9:00,16:00,,,9:00,16:00,,,9:00,16:00,,,9:00,16:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
205,LMXJ 09-15 y 17-19 | V 09-17,"Lunes a Jueves 09:00-15:00 y 17:00-19:00, Viernes 09:00-17:00",9:00,15:00,17:00,19:00,9:00,15:00,17:00,19:00,9:00,15:00,17:00,19:00,9:00,15:00,17:00,19:00,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
288,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
302,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
307,LMXJV 09-17,Lunes a Viernes 09:00-17:00,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
322,LMXJV 10-18,Lunes a Viernes 10:00-18:00,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,10:00,18:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
348,LMXJ 09-13 y 14-18 | V 09-17,"Lunes a Jueves 09:00-13:00 y 14:00-18:00, Viernes 09:00-17:00",9:00,13:00,14:00,18:00,9:00,13:00,14:00,18:00,9:00,13:00,14:00,18:00,9:00,13:00,14:00,18:00,9:00,17:00,,,,,,,,,,,25/08/25,19/12/25,AGOSTO_DICIEMBRE_2025
